date,,mr_strat_1,tf_strat_1,cash_strat
2024-11-19 10:00:00,ETHUSDT,0.0011089018149853407,0.0020059932896634605,0.0
2024-11-19 11:00:00,BTCUSDT,-0.0003839321152826126,-0.0006945297018504748,0.0
2024-11-19 11:00:00,ETHUSDT,0.0007065686062962853,0.001278176177334464,0.0
2024-11-19 12:00:00,BTCUSDT,0.003160088741367658,0.005716571768807479,0.0
2024-11-19 12:00:00,ETHUSDT,0.0006494006013882319,0.001174759776820665,0.0
2024-11-19 13:00:00,BTCUSDT,-0.005148519280545794,-0.00931362451473158,0.0
2024-11-19 13:00:00,ETHUSDT,-0.005739540121409379,-0.010382775836157886,0.0
2024-11-19 14:00:00,BTCUSDT,0.0026568083053266044,0.004806142041058679,0.0
2024-11-19 14:00:00,ETHUSDT,0.001683694316209168,0.00304578769239795,0.0
2024-11-19 15:00:00,BTCUSDT,0.0021985582414799725,0.003977171846726056,0.0
2024-11-19 15:00:00,ETHUSDT,0.0008716078220343553,0.0015767306163550778,0.0
2024-11-19 16:00:00,BTCUSDT,0.0006238173295993455,0.001128479871023215,0.0
2024-11-19 16:00:00,ETHUSDT,0.0006654934158205763,0.0012038715316458736,0.0
2024-11-19 17:00:00,BTCUSDT,0.0011536498670191241,0.002086942108478829,0.0
2024-11-19 17:00:00,ETHUSDT,0.0008346983457268792,0.0015099617096789096,0.0
2024-11-19 18:00:00,BTCUSDT,0.003029606376876085,0.006415234328929969,0.0
2024-11-19 18:00:00,ETHUSDT,0.0026479884050286833,0.004790186921701819,0.0
2024-11-19 19:00:00,BTCUSDT,-0.0015960339672559211,-0.003821914888847031,0.0
2024-11-19 19:00:00,ETHUSDT,-0.002106309247740446,-0.0038102942567365917,0.0
2024-11-19 20:00:00,BTCUSDT,-0.0029564072708561846,-0.005348113842638242,0.0
2024-11-19 20:00:00,ETHUSDT,-0.0025234065560035927,-0.004564819490806684,0.0
2024-11-19 21:00:00,BTCUSDT,-0.0010085624438622568,-0.0018244802806288252,0.0
2024-11-19 21:00:00,ETHUSDT,-0.0009189040561924335,-0.0016622890734387743,0.0
2024-11-19 22:00:00,BTCUSDT,-0.001436125058850172,-0.0025979371593048313,0.0
2024-11-19 22:00:00,ETHUSDT,5.533941938515097e-05,0.00010010850594734793,0.0
2024-11-19 23:00:00,BTCUSDT,0.0018765780398405404,0.0033947125927462738,0.0
2024-11-19 23:00:00,ETHUSDT,0.001698654897607644,0.0030728512479709057,0.0
2024-11-20 00:00:00,BTCUSDT,-0.00103116652866124,-0.00186537086427923,0.0
2024-11-20 00:00:00,ETHUSDT,-4.3601420476556607e-05,-7.887457276542e-05,0.0
2024-11-20 01:00:00,BTCUSDT,-0.0002611655025028667,-0.00047244601680019975,0.0
2024-11-20 01:00:00,ETHUSDT,-0.0009295186980807508,-0.001681490863996243,0.0
2024-11-20 02:00:00,BTCUSDT,-0.000887958638417524,-0.0016063090943608958,0.0
2024-11-20 02:00:00,ETHUSDT,-0.0014444629484642703,-0.0026130203257221005,0.0
2024-11-20 03:00:00,BTCUSDT,0.001132855320826468,0.0020493249636961623,0.0
2024-11-20 03:00:00,ETHUSDT,0.0011026090724116813,0.001994609775626641,0.0
2024-11-20 04:00:00,BTCUSDT,0.00031447643719276794,0.0005688850123978783,0.0
2024-11-20 04:00:00,ETHUSDT,0.00023024067147377932,0.0004165032789581252,0.0
2024-11-20 05:00:00,BTCUSDT,0.001484070658533149,0.0026846703127122984,0.0
2024-11-20 05:00:00,ETHUSDT,0.0012063301632255976,0.0021822402848002964,0.0
2024-11-20 06:00:00,BTCUSDT,-0.0005111148675313162,-0.0009246021430027175,0.0
2024-11-20 06:00:00,ETHUSDT,-0.0004567763536232758,-0.0008263042659528411,0.0
2024-11-20 07:00:00,BTCUSDT,0.0018379691285587976,0.003324869423670559,0.0
2024-11-20 07:00:00,ETHUSDT,0.000576038621971347,0.0010420486238240892,0.0
2024-11-20 08:00:00,BTCUSDT,0.0013399526493361783,0.0024239621458917743,0.0
2024-11-20 08:00:00,ETHUSDT,0.0015924509484467181,0.0028807292706474284,0.0
2024-11-20 09:00:00,BTCUSDT,-0.00038270749298467455,-0.0006923143712604816,0.0
2024-11-20 09:00:00,ETHUSDT,-0.0005494611339931609,-0.000993970189989929,0.0
2024-11-20 10:00:00,BTCUSDT,0.0006828753251265855,0.0012353152473637112,0.0
2024-11-20 10:00:00,ETHUSDT,-0.001059042027030743,-0.0019157973870962994,0.0
2024-11-20 11:00:00,BTCUSDT,0.0006726429371391374,0.001216804950633495,0.0
2024-11-20 11:00:00,ETHUSDT,-0.001100150345365148,-0.0019901619607797286,0.0
2024-11-20 12:00:00,BTCUSDT,0.00029477609902469986,0.000533247279971795,0.0
2024-11-20 12:00:00,ETHUSDT,-0.0011947112891933023,-0.002161221847435274,0.0
2024-11-20 13:00:00,BTCUSDT,0.0032289326144754973,0.005841109708616509,0.0
2024-11-20 13:00:00,ETHUSDT,0.0027371795412502184,0.004951532875275016,0.0
2024-11-20 14:00:00,BTCUSDT,0.0009225080724074077,0.0016688087059665397,0.0
2024-11-20 14:00:00,ETHUSDT,0.00013968590845976004,0.0002526905369295724,0.0
2024-11-20 15:00:00,BTCUSDT,0.00042384025133849785,0.0007667231567165763,0.0
2024-11-20 15:00:00,ETHUSDT,0.0017722278848884936,0.00320594411227272,0.0
2024-11-20 16:00:00,BTCUSDT,-0.002613594020997965,-0.0047279677940609815,0.0
2024-11-20 16:00:00,ETHUSDT,-0.004689486204679284,-0.008483237858782269,0.0
2024-11-20 17:00:00,BTCUSDT,-0.0004994611250726046,-0.0009035206289716932,0.0
2024-11-20 17:00:00,ETHUSDT,-0.0029075796638520193,-0.00525978514601511,0.0
2024-11-20 18:00:00,BTCUSDT,-0.0008831080006881286,-0.0015975343348607644,0.0
2024-11-20 18:00:00,ETHUSDT,-0.0017496837059779934,-0.0031651618978292945,0.0
2024-11-20 19:00:00,BTCUSDT,0.0012005589112811805,0.002171800142564971,0.0
2024-11-20 19:00:00,ETHUSDT,0.0010555037832320757,0.001909396736270948,0.0
2024-11-20 20:00:00,BTCUSDT,0.0010301269744329644,0.0018634903201426964,0.0
2024-11-20 20:00:00,ETHUSDT,0.0016598211862202668,0.0030026014175503143,0.0
2024-11-20 21:00:00,BTCUSDT,0.0003550574385113472,0.0006422956743995183,0.0
2024-11-20 21:00:00,ETHUSDT,0.0006770600679217914,0.0012247955000129161,0.0
2024-11-20 22:00:00,BTCUSDT,-0.0007767621810757076,-0.001405155715181891,0.0
2024-11-20 22:00:00,ETHUSDT,-0.0004380872785181987,-0.0007924958992028087,0.0
2024-11-20 23:00:00,BTCUSDT,0.0004768028341031139,0.0008625319868522453,0.0
2024-11-20 23:00:00,ETHUSDT,-0.0005117831123414602,-0.0009258109917816502,0.0
2024-11-21 00:00:00,BTCUSDT,0.0022850332809874092,0.0028873473732517504,0.0
2024-11-21 00:00:00,ETHUSDT,0.0010691501137383528,0.0019340828239427254,0.0
2024-11-21 01:00:00,BTCUSDT,-0.0007157276295091493,-4.848773414297502e-05,0.0
2024-11-21 01:00:00,ETHUSDT,-1.5052521988269011e-05,-2.72298752630128e-05,0.0
2024-11-21 02:00:00,BTCUSDT,-0.0011250127901913072,-0.0020351378971628455,0.0
2024-11-21 02:00:00,ETHUSDT,-0.0026556923712527905,-0.004804123326476805,0.0
2024-11-21 03:00:00,BTCUSDT,0.005226067535010495,0.00945390860118459,0.0
2024-11-21 03:00:00,ETHUSDT,0.00299364208971537,0.005415471291029061,0.0
2024-11-21 04:00:00,BTCUSDT,0.006476419712298378,0.011715784308718488,0.0
2024-11-21 04:00:00,ETHUSDT,0.005588496874798118,0.010109539977891048,0.0
2024-11-21 05:00:00,BTCUSDT,-0.0008277176352181907,-0.0014973336679097676,0.0
2024-11-21 05:00:00,ETHUSDT,-0.0026243711362627514,-0.004747463497477588,0.0
2024-11-21 06:00:00,BTCUSDT,-0.0011887690015614245,-0.0021504723031981637,0.0
2024-11-21 06:00:00,ETHUSDT,0.0022301207336149565,0.004034268107704465,0.0
2024-11-21 07:00:00,BTCUSDT,-0.0003383331758392994,-0.0006120416354563676,0.0
2024-11-21 07:00:00,ETHUSDT,0.0011166701338426656,0.0020200461077661764,0.0
