date,,strat_1,strat_2
2025-01-04 12:00:00,FTMUSDT,0.0,0.0033073211131836
2025-01-04 13:00:00,FTMUSDT,0.0,0.0024521130604447
2025-01-04 14:00:00,FTMUSDT,0.0,0.0021980587533761
2025-01-04 15:00:00,FTMUSDT,0.0,-0.008910527689437
2025-01-04 16:00:00,FTMUSDT,0.0,-0.001556466014551
2025-01-04 17:00:00,FTMUSDT,0.0,0.0014967806361764
2025-01-04 18:00:00,FTMUSDT,0.0,-0.0002388839947167
2025-01-04 19:00:00,FTMUSDT,0.0,-0.0004185965925536
2025-01-04 20:00:00,FTMUSDT,0.0,0.005709832569985
2025-01-04 21:00:00,FTMUSDT,0.0,-0.0010845826700006
2025-01-04 22:00:00,FTMUSDT,0.0,0.0014645388629291
2025-01-04 23:00:00,FTMUSDT,0.0,-0.0016996626720425
2025-01-05 00:00:00,FTMUSDT,0.0,-0.0026902014417654
2025-01-05 01:00:00,FTMUSDT,0.0,-0.0014307464575049
2025-01-05 02:00:00,FTMUSDT,0.0,-2.9894390974080448e-05
2025-01-05 03:00:00,FTMUSDT,0.0,0.0007164814010857
2025-01-05 04:00:00,FTMUSDT,0.0,-0.0003281326437001
2025-01-05 05:00:00,FTMUSDT,0.0,-0.0030331418211438
2025-01-05 06:00:00,FTMUSDT,0.0,0.0072950096065774
2025-01-05 07:00:00,FTMUSDT,0.0,-0.0029816070622013
2025-01-06 03:00:00,ETCUSDT,0.0,-0.001931289643346
2025-01-06 04:00:00,ETCUSDT,0.0,0.0002613714886243
2025-01-06 05:00:00,ETCUSDT,0.0,-0.000522834960882
2025-01-06 06:00:00,ETCUSDT,0.0,-0.0055120964461258
2025-01-06 21:00:00,TAOUSDT,0.0,-0.0051866297644702
2025-01-06 22:00:00,TAOUSDT,0.0,-0.0056263945147976
2025-01-10 18:00:00,ETCUSDT,0.0,-0.0051268384610356
2025-01-10 19:00:00,ETCUSDT,0.0,0.0034569203063139
2025-01-10 20:00:00,ETCUSDT,0.0,-0.00519143109123
2025-01-10 21:00:00,ETCUSDT,0.0,-0.0005790713065971
2025-01-10 22:00:00,ETCUSDT,0.0,0.0026022739345676
2025-01-10 23:00:00,ETCUSDT,0.0,-0.0023126818635644
2025-01-11 00:00:00,ETCUSDT,0.0,0.0
2025-01-11 01:00:00,ETCUSDT,0.0,-0.005230006766784
